제목,방송 기간,방송 횟수,장르,채널,제작사,극본,출연자,방송 시작
불량가족,  2006년 3월 22일 ~ 2006년 5월 11일 ,  16부작 ,,  SBS ,  에이트픽스 ,"  이희명, 한은경 ","  김명민, 남상미, 박진우(배우), 현영, 이영유(배우) 外 ",2006-03-22 00:00:00
봄이오나봄,  2019년 1월 23일 ~ 2019년 3월 21일  ,  32부작 ,"  판타지, 코미디 ",  문화방송 ,  JS픽쳐스 ,  이혜선 ,"  이유리(배우), 엄지원, 이종혁(배우), 최병모 外 ",2019-01-23 00:00:00
태양의후예,,  16부작 (본편) 3부작 (스페셜) ,"  휴먼, 액션, 멜로, 로맨스 ",  KBS 2TV ,  넥스트엔터테인먼트월드   130억원 ,"  김원석, 김은숙 ","  송혜교, 송중기, 진구, 김지원(배우), 강신일 外 ",unknown
역류,  2017년 11월 13일 ~ 2018년 4월 26일 ,  119부작 ,,  문화방송 ,  문화방송 C&I ,"  김지연, 서신혜, 한희정 ","  신다은, 이재황(배우), 서도영, 김해인, 정성모, 정애리(배우), 임도윤, 이응경, 소희정, 남명렬, 지은성, 이현걸 등 ",2017-11-13 00:00:00
드림하이2,  2012년 1월 30일 ~ 2012년 3월 20일 ,  16부작 ,"  학원물, 로맨스 ",  KBS ,"  JYP, 키이스트, CJ E&M ","  허성혜, 장은미 ","  강소라, 정진운, 지연(1993), JB, 박서준 外 ",2012-01-30 00:00:00
맨홀-이상한나라의필,  2017년 8월 9일 ~ 2017년 9월 28일 ,  16부작 ,  시트콤 로맨스 ,  KBS 2TV ,  셀트리온엔터테인먼트 ,,"  김재중, 유이(배우), 바로, 정혜성 外 ",2017-08-09 00:00:00
아름다운날들,  2001년 3월 14일 ~ 2001년 5월 31일 ,  24부작 ,,,  웰메이드 예당 ,  윤성희 ,"  이병헌, 최지우, 류시원, 이정현(멀티 엔터테이너) 外 ",2001-03-14 00:00:00
두번은없다,  ON AIR  2019년 11월 2일 ~ 2020년 3월 7일 ,  72부작 ,,  문화방송 , 팬엔터테인먼트.png   김희열 ,  구현숙 ,"     윤여정, 박세완, 곽동연, 오지호(배우), 예지원 外 ",unknown
최고의이혼,  2018년 10월 8일 ~ 2018년 11월 27일 ,  32부작 ,  로맨틱 코미디 ,  KBS 2TV ,"  	몬스터 유니온, 더아이 엔터테인먼트 ",  문정민 ,"  차태현, 배두나, 이엘, 손석구 外 ",2018-10-08 00:00:00
라이브,  2018년 3월 10일 ~ 2018년 5월 6일 ,  18부작 ,  드라마 ,  tvN ,  지티스트 ,  노희경 ,"  정유미(1983), 이광수(배우), 배성우, 배종옥 外 ",2018-03-10 00:00:00
프레지던트,  2010년 12월 15일 ~ 2011년 2월 24일 ,  20부작 ,,  KBS 2TV ,  필림이지 엔터테인먼트 ,"  손영목]], 손지혜 ","  최수종, 하희라, 제이, 왕지혜, 성민 外 ",2010-12-15 00:00:00
달의연인-보보경심려,  2016년 8월 29일 ~ 2016년 11월 1일 ,  20부작 ,, SBS ,,  조윤영 ,"  이준기, 아이유, 강하늘, 홍종현 外 ",2016-08-29 00:00:00
백야3.98,  1998년 8월 31일 ~ 1998년 11월 3일 ,  20부작 ,,  SBS ,  SBS 프로덕션,"  강은경, 한태훈 ","  최민수, 심은하, 이병헌, 이정재, 진희경, 신현준 外 ",1998-08-31 00:00:00
빠담빠담,  2011년 12월 5일 ~ 2012년 2월 7일 ,  20부작 ,"  멜로, 드라마 ",  JTBC ,"  MI, MWM ",  노희경 ,"  정우성, 한지민, 김범 外 ",2011-12-05 00:00:00
세계의끝,  2013년 3월 16일 ~ 2013년 5월 5일 ,  12부작 ,,,  JTBC ,  박혜련 ,  윤제문 外 ,2013-03-16 00:00:00
뷰티풀마인드,  2016년 6월 20일 ~ 2016년 8월 2일 ,  14부작 ,  의학 ,  KBS 2TV ,  래몽래인 ,  김태희 ,"  장혁, 박소담, 윤현민, 박세영 외 ",2016-06-20 00:00:00
탁구공,  2018년 9월 17일 ~ 2018년 9월 18일 ,  2부작 ,  드라마 ,  JTBC ,  드라마하우스 ,  박지원 ,"  유재명, 지수(배우) 外 ",2018-09-17 00:00:00
빅맨,  2014년 4월 28일 ~ 2014년 6월 17일 ,  16부작 ,,  KBS 2TV ,"  김종학 프로덕션, KBS 미디어 ",  최진원 ,"  강지환, 이다희(배우), 최다니엘, 정소민 外 ",2014-04-28 00:00:00
W,  2016년 7월 20일 ~ 2016년 9월 14일 ,  16부작 ,,  문화방송 ,  초록뱀미디어 ,  송재정 ,"  이종석(배우), 한효주, 김의성, 이태환, 정유진 外 ",2016-07-20 00:00:00
역도요정김복주,  2016년 11월 16일 ~ 2017년 1월 11일 ,  16부작 ,"  학원물, 로맨틱 코미디, 성장 ",  문화방송 ,"  초록뱀미디어   오민수, 김상헌 ",  양희승 ,"  이성경, 남주혁, 경수진, 이재윤 外  ",2016-11-16 00:00:00
우아한가,  2019년 8월 21일 ~ 2019년 10월 17일 ,  16부작 ,  드라마 ,  MBN | Dramax ,  삼화 네트웍스 ,,"  임수향, 이장우(배우), 배종옥 外 ",2019-08-21 00:00:00
닥터탐정,  2019년 7월 17일 ~ 2019년 9월 5일  ,  16부작  ,  산업 재해 메디컬 수사극 ,  SBS ,  더스토리웍스 ,  송윤희 ,"  박진희(1978), 봉태규, 이기우(배우) 外 ",2019-07-17 00:00:00
개인의취향,  2010년 3월 31일 ~ 2010년 5월 20일 ,  16부작 ,"  드라마, 로맨스 ",  문화방송 ,  이김프로덕션 ,"  이새인, 김희주 ","  손예진, 이민호(1987), 김지석(배우), 왕지혜 등 ",2010-03-31 00:00:00
오로라공주, 2013년 5월 20일 ~ 2013년 12월 20일 , 150부작 , 막장 드라마 , 문화방송 , 싸이더스HQ→ MBC C&I , 임성한 ," 전소민, 오창석(배우), 서하준, 정주연 外 ",2013-05-20 00:00:00
홍콩익스프레스,   2005년 2월 16일 ~ 2005년 4월 7일 ,  16부작 ,,  SBS ,"  캐슬인더스카이, iHQ ",  김성희 ,"  차인표, 조재현, 송윤아, 김효진(배우)  外 ",2005-02-16 00:00:00
듀얼,  2017년 6월 3일 ~ 2017년 7월 23일  ,  16부작 ,  범죄 ,  OCN ,  초록뱀미디어 ,  김윤주 ,"  정재영, 김정은(배우), 양세종(배우), 서은수(배우) 등 ",2017-06-03 00:00:00
쇼핑왕루이,  2016년 9월 21일 ~ 2016년 11월 10일 ,  16부작 ,,  문화방송 ,  문화방송 자체제작 ,  오지영 ,"  서인국, 남지현, 윤상현(배우), 임세미 外 ",2016-09-21 00:00:00
앙큼한돌싱녀,  2014년 2월 27일 ~ 2014년 4월 24일 ,  16부작 ,,  문화방송 ,"  판타지오, IOK Media ","  이하나, 최수영 ","  이민정, 주상욱, 김규리(1979년 10월), 서강준 外 ",2014-02-27 00:00:00
자이언트,  2010년 5월 10일 ~ 2010년 12월 7일 ,  60부작 ,  시대극 ,  SBS ,  JS픽쳐스 ,"  장영철, 정경순 ",,2010-05-10 00:00:00
하이에나,  ON AIR 2020년 2월 21일 ~  ,  부작 ,,  SBS | 넷플릭스 ,  SBS | 키이스트 ,  김루리 ,"  김혜수, 주지훈 外 ",unknown
유령,  2012년 5월 30일 ~ 2012년 8월 9일 ,  20부작 ,"  범죄, 스릴러 ",  SBS ,  HB엔터테인먼트 ,  김은희 ,"  소지섭, 이연희(배우), 엄기준, 곽도원 ",2012-05-30 00:00:00
굿캐스팅,  2020년 4월 ~ (예정) ,   ,,  SBS ,  박스미디어   박해선 , 박지하 ,"  최강희(배우), 유인영, 김지영(1974), 이상엽, 이종혁(배우), 이준영(1997) 外 ",unknown
아이두아이두,  2012년 5월 30일 ~ 2012년 7월 19일 ,  16부작 ,,  문화방송 ,  김종학프로덕션 ,  조정화 ,"  김선아, 이장우(배우), 박건형, 임수향 外 ",2012-05-30 00:00:00
그저바라보다가,  2009년 4월 29일 ~ 2009년 6월 18일 ,  16부작 ,"  드라마, 로맨스 ",  KBS 2TV ,  래몽래인 ,"  정진영, 김의찬 ","  황정민, 김아중, 주상욱, 전미선, 이청아, 백성현 外 ",2009-04-29 00:00:00
명불허전,  2017년 8월 12일 ~ 2017년 10월 1일 ,  16부작 ,"  드라마, 의학 ",  tvN ,   본팩토리 ,"  김은희], 싸인(드라마)으로 유명한 그 [[김은희 작가가 아닌 동명이인이다.] ","  김남길, 김아중, 유민규, 문가영 外 ",2017-08-12 00:00:00
한성별곡,  2007년 7월 9일 ~ 2007년 7월 31일 ,  8부작 ,  퓨전 사극 ,  KBS 2TV ,  KBS ,  박진우 ,"  진이한, 김하은, 이천희, 안내상 外 ",2007-07-09 00:00:00
여름향기,  2003년 7월 7일 ~ 2003년 9월 8일 ,  20부작 ,"  멜로, 드라마 ",  KBS 2TV ,  팬 엔터테인먼트 ,  최호연 ,"  송승헌, 손예진, 류진(배우), 한지혜 外 ",2003-07-07 00:00:00
Dr.깽,  2006년 4월 5일 ~ 2006년 5월 25일 ,  16부작 ,,  문화방송 ,  iHQ ,  김규완  ,"  양동근, 한가인, 이종혁(배우), 박시은(1980) 外 ",2006-04-05 00:00:00
"왕관을쓰려는자,그무게를견뎌라-상속자들", 2013년 10월 9일 ~ 2013년 12월 12일 , 20부작 ," 드라마, 학원물, 로맨스, 가족암투극 ",, 화앤담픽처스 , 김은숙 ," 이민호(1987), 박신혜, 김우빈, 크리스탈, 김지원(배우), 강민혁(가수), 박형식 外 ",2013-10-09 00:00:00
천명,  2013년 4월 24일 ~ 2013년 6월 27일 ,  총 20부작 ,,  KBS 2TV ,,"  최민기, 윤수정 ","  이동욱, 김유빈(배우), 송지효 外 ",2013-04-24 00:00:00
학교2017,  2017년 7월 17일 ~ 2017년 9월 5일 ,  16부작 ,,  KBS 2TV ,"  학교 2017 문화산업전문회사, 프로덕션에이치 ","  정찬미, 김승원, 김주만 ","  세정(구구단), 김정현(1990), 장동윤, 한선화, 한주완 外 ",2017-07-17 00:00:00
패션70's,  2005년 5월 23일 ~ 2005년 8월 29일 ,  28부작 ,,  SBS ,"  김종학프로덕션, 세정 ",  정성희 ,"  이요원, 김민정(1982), 주진모(1974), 천정명 外 ",2005-05-23 00:00:00
연애의발견,  2014년 8월 18일 ~ 2014년 10월 7일 ,  16부작 ,  로맨스 ,  KBS 2TV ,  JS픽쳐스 ,  정현정 ,"  정유미(1983), 문정혁, 성준(배우) 外 ",2014-08-18 00:00:00
샐러리맨초한지,  2012년 1월 2일 ~ 2012년 3월 13일 ,  22부작 + 스페셜 2부작 ,"  코미디, 스릴러 ",  서울방송 ,  JS픽쳐스 ,"  장영철, 정경순 ","  이범수, 정려원, 정겨운, 홍수현, 이덕화, 김서형 外 ",2012-01-02 00:00:00
언터처블,  2017년 11월 24일 ~ 2018년 1월 20일 ,  16부작 ,,  JTBC ,"  김종학, 드라마하우스 ",  최진원 ,"  진구, 김성균, 고준희, 정은지, 박근형, 최종원, 손종학, 이재원(배우), 신정근, 예수정, 진경(배우), 박원상, 배유람, 임현성 등 ",2017-11-24 00:00:00
연애를기대해,  2013년 9월 11일 ~ 2013년 9월 12일 ,  2부작 ,,  KBS 2TV ,"  한국방송공사, IOK 미디어 ",  주화미 ,"  BoA, 최다니엘, 임시완, 김지원(배우) 外 ",2013-09-11 00:00:00
보그맘,  2017년 9월 15일 ~ 2017년 12월 1일 ,  12부작 ,"  드라마, 예능 ",  문화방송 ,,"  박은정, 최우주   버킹검X엘레강스! '보그맘' 포스터 촬영 현장   박한별, 촬영_좀_하게_해주세요^.^ ","  박한별, 양동근, 아이비(가수) 外 ",2017-09-15 00:00:00
로맨스가필요해시즌3,  2014년 1월 13일 ~ 2014년 3월 4일 ,  16부작 ,, tvN ,"  CJ E&M, JS픽쳐스 ",  정현정 ,"  김소연(배우), 성준(배우), 남궁민 外 ",2014-01-13 00:00:00
울랄라부부,  2012년 10월 1일 ~ 2012년 11월 27일 ,  18부작 ,  코믹 ,  KBS 2TV ,  콘텐츠K ,  최순식 ,"  신현준, 김정은(배우), 한재석, 한채아 外 ",2012-10-01 00:00:00
내사위의여자,  2016년 1월 4일 ~ 2016년 6월 17일 ,  120부작,,  SBS ,  SBS Plus   김용진 ,  안서정 ,"  서하준, 양진성, 박순천(배우), 장승조 등 ",2016-01-04 00:00:00
전설의마녀,  2014년 10월 25일 ~ 2015년 3월 8일 ,  40부작 ,,  문화방송 ,  팬 엔터테인먼트 ,  구현숙 ,"  한지혜, 하석진, 고두심, 오현경(1970), 하연수 外 ",2014-10-25 00:00:00
학교2013,  2012년 12월 3일 ~ 2013년 1월 28일 ,  16부작 ,  학원물 ,  KBS 2TV ,  콘텐츠K ,"  이현주, 고정원 ","  장나라, 최다니엘, 이종석(배우), 박세영, 류효영, 김우빈 外 ",2012-12-03 00:00:00
당신참예쁘다,  2011년 4월 4일 ~ 2011년 10월 7일 ,  135부작 ,  드라마 ,  문화방송 ,,  오상희 ,"  윤세아, 현우성, 김태훈(배우), 박탐희 外 ",2011-04-04 00:00:00
강남스캔들,  2018년 11월 26일 ~ 2019년 5월 17일,  123부작 ,"  막장드라마, 가족드라마 ",  SBS ,  SBS Plus ,  박혜련 ,"  신고은(가수), 임윤호, 서도영, 황보미(방송인), 방은희 外 ",2018-11-26 00:00:00
이번생은처음이라,  2017년 10월 9일 ~ 2017년 11월 28일 ,  16부작 ,,  tvN ,  엠아이(주) ,  윤난중 ,"  이민기, 정소민, 박병은, 이솜, 김가은(1989년 1월), 김민석(배우) 外 ",2017-10-09 00:00:00
무신,  2012년 2월 11일 ~ 2012년 9월 15일 ,  56부작 ,  사극 ,  문화방송 ,  문화방송 ,  이환경 ,"  김주혁(배우), 김규리(1979년 10월), 정보석, 박상민 外 ",2012-02-11 00:00:00
7급공무원,  2013년 1월 23일 ~ 2013년 3월 28일 ,  20부작 ,"  드라마, 첩보, 로맨스 ",  문화방송 ,"  커튼콜제작단, 사과나무픽쳐스 ",  천성일 ,"  주원, 최강희(배우), 황찬성 外 ",2013-01-23 00:00:00
더킹투하츠, 2012년 3월 21일 ~ 2012년 5월 24일, 20부작,, 문화방송, 김종학 프로덕션, 홍진아," 하지원, 이승기, 윤제문, 이윤지, 조정석 등",2012-03-21 00:00:00
일단뜨겁게청소하라!!,  2018년 11월 26일 ~ 2019년 2월 4일 ,  16부작 ,  로맨틱 코미디 ,,"  드라마하우스, 오형제 ",  한희정 ,"  김유정(배우), 윤균상, 송재림 外 ",2018-11-26 00:00:00
루루공주,   2005년 7월 27일 ~ 2005년 9월 29일 ,  20부작 ,,  SBS ,"  김종학프로덕션, 포이보스, 파크프로덕션 ","  권소연, 이혜선 ","  정준호, 김정은(배우), 김흥수(배우) 外 ",2005-07-27 00:00:00
순정에반하다,  2015년 4월 3일 ~ 2015년 5월 23일 ,  16부작 ,,  JTBC ,"  김종학 프로덕션, 도레미 엔터테인먼트   손기원, 김운호 ",  유희경 ,"  정경호(1983), 김소연(배우), 윤현민, 진구 外 ",2015-04-03 00:00:00
마의,  2012년 10월 1일 ~ 2013년 3월 25일 ,  50부작 + 스페셜 1부작 ,"  퓨전사극, 의학 ",  문화방송 ,"  김종학 프로덕션, 에이스토리 ",  김이영 ,"  조승우, 이요원, 손창민, 유선(배우) 外 ",2012-10-01 00:00:00
스마일어게인,  2006년 5월 17일 ~ 7월 6일 ,  16부작 ,,  SBS ,  조윤정 ,  윤성희 ,"  김희선, 이동건, 윤세아, 이진욱 ",2006-05-17 00:00:00
이별이떠났다,  2018년 5월 26일 ~ 2018년 8월 4일 ,  40부작 ,,  문화방송 ,"  슈퍼문픽쳐스, PF엔터테인먼트  ",  소재원 ,"  채시라]], 조보아, 이성재, 이준영(1997), 정혜영, [[정웅인 등 ",2018-05-26 00:00:00
카인과아벨,  2009년 2월 18일 ~ 2009년 4월 23일 ,  20부작 ,  드라마 ,  서울방송 ,"  플랜비픽처스, DIMA 엔터테인먼트 ","  박계옥, 윤혜진 ","  소지섭, 신현준, 한지민, 채정안 外 ",2009-02-18 00:00:00
햇빛쏟아지다,   2004년 2월 11일 ~ 2004년 4월 1일 ,  16부작 ,,  SBS ,  김종학프로덕션 ,"  조정화, 정영선 ","  류승범, 송혜교, 조현재 外 ",2004-02-11 00:00:00
기억, 2016년 3월 18일 ~ 2016년 5월 7일 , 16부작 ,, tvN , MI , 김지우(각본가) ," 이성민(배우), 김지수(배우), 박진희(1978), 준호(2PM), 윤소희, 이기우(배우) 外 ",2016-03-18 00:00:00
101번째프로포즈,  2006년 5월 29일 ~ 2006년 7월 25일 ,  15부작 ,  로맨틱코미디 ,  SBS ,  JS픽쳐스 ,  윤영미 ,"  이문식, 박선영(1976), 송창의 外 ",2006-05-29 00:00:00
싸인,  2011년 1월 5일 ~ 2011년 3월 10일 ,  20부작 ,  법의학 ,  SBS ,  골든썸 · 아폴로픽쳐스 ,  김은희 · 장항준 ,  박신양 · 김아중 · 전광렬 · 엄지원 · 정겨운 ,2011-01-05 00:00:00
최강칠우,  2008년 6월 17일 ~ 2008년 8월 19일 ,  20부작 ,,  KBS 2TV ,"  올리브나인, 퓨처원 ",  백운철 (케이피앤쇼) ,"  에릭(신화), 구혜선, 유아인, 전노민 外 ",2008-06-17 00:00:00
응급남녀,  2014년 1월 24일 ~ 2014년 4월 5일 ,  21부작 ,,  tvN ,,  최윤정 ,"  송지효, 최진혁, 이필모, 최여진, 클라라(배우) 外 ",2014-01-24 00:00:00
복면검사,  2015년 5월 20일 ~ 2015년 7월 9일  ,  16부작 ,,  KBS 2TV ,  김종학 프로덕션 ,  최진원 ,"  주상욱, 김선아, 엄기준 外 ",2015-05-20 00:00:00
아이템,  2019년 2월 11일 ~ 2019년 4월 2일 ,  32부작 + 스페셜 1부작 ,,   문화방송 ,  문화방송 자체 제작 ,  정이도 ,"  주지훈, 진세연, 김강우, 김유리(1984) 外 ",2019-02-11 00:00:00
구르미그린달빛,  2016년 8월 22일 ~  2016년 10월 18일  ,"  18부작, 특별판 3부작, 별전 1부작 ",,  KBS 2TV ,"  KBS 미디어, 구르미그린달빛 문전사 ","  김민정, 임예진 ","  박보검, 김유정(배우), 진영(B1A4), 채수빈, 곽동연 外 ",2016-08-22 00:00:00
장미빛연인들,  2014년 10월 18일 ~ 2015년 4월 12일 ,  52부작 ,  막장 드라마 ,  문화방송 ,"  DK이앤엠, 웰메이드예당 ",  김사경 ,"  이장우(배우), 한선화 外 ",2014-10-18 00:00:00
결혼계약,  2016년 3월 5일 ~ 2016년 4월 24일 ,  16부작 ,"  가족, 멜로 ",  문화방송 ,  팬 엔터테인먼트   김희열 ,  정유경]] ,"  이서진, 유이(배우) 外 ",2016-03-05 00:00:00
해운대연인들,  2012년 8월 6일 ~ 2012년 9월 25일 ,  16부작 ,,  KBS 2TV ,"  SSD, 티모이앤엠 ",  황은경 ,"  김강우, 조여정, 정석원(배우), 남규리 外 ",2012-08-06 00:00:00
리셋,  2014년 8월 14일 ~ 2014년 10월 26일 ,  10부작 ,  범죄 ,  OCN_LOGO.png ,    ,  장혁린 ,"  천정명, 김소현(1999) 등 ",2014-08-14 00:00:00
위험한여자,  2011년 10월 10일 ~ 2012년 3월 30일 ,  124부작 ,  드라마 ,  문화방송 ,  MBC C&I ,  이홍구(각본가) ,"  고은미, 김정현(1976), 황보라, 여현수  外 ",2011-10-10 00:00:00
시를잊은그대에게,  2018년 3월 26일 ~ 2018년 5월 15일 ,  16부작 ,,  tvN ,  tvN ,"  명수현, 백선우, 최보림 등 ","  이유비, 이준혁, 장동윤 外 ",2018-03-26 00:00:00
부부의세계,  2020년 3월 27일 ~ 2020년 5월 16일 (예정) ,  16부작 ,,  JTBC ,"  드라마하우스, 소금빛미디어  박준서, 이주경, 이현종 ",  주현 ,"  김희애, 박해준 外 ",2020-03-27 00:00:00
베토벤바이러스,  2008년 9월 10일 ~ 2008년 11월 12일 ,  18부작(+스페셜 1부작) ,,  문화방송 ,"  김종학 프로덕션, 스네핑엔터테인먼트, 박창식, 구정회 ","  홍진아, 홍자람  ","  김명민, 이지아, 장근석, 이순재, 박철민 외 ",2008-09-10 00:00:00
본대로말하라,   2020년 2월 1일 ~ 2020년 3월 22일 (예정),  16부작  ,,  OCN ,"  스튜디오드래곤, 에이치하우스   김홍선, 박종학 ","  고영재, 한기현 ","  장혁, 최수영, 진서연 外 ",2020-02-01 00:00:00
라디오로맨스,  2018년 1월 29일 ~ 2018년 3월 20일  ,  16부작 ,,  KBS 2TV ,"  얼반웍스 미디어, 플러시스 미디어 ",  전유리 ,"  윤두준, 김소현(1999), 윤박, 유라(걸스데이) 外 ",2018-01-29 00:00:00
꽃피는봄이오면,  2007년 1월 15일 ~ 2007년 3월 13일 ,  16부작 ,,  한국방송공사 ,  사과나무픽쳐스 ,  권민수 ,"  박건형, 이하나, 박시연, 김남길 外 ",2007-01-15 00:00:00
개과천선,  2014년 4월 30일 ~ 2014년 6월 26일 ,  16부작 ,  드라마 ,  문화방송 ,  제이에스픽처스 ,  최희라 ,"  김명민, 박민영(배우), 김상중, 채정안, 진이한 外 ",2014-04-30 00:00:00
잘났어정말,  2013년 5월 6일 ~ 2013년 10월 4일 ,  108부작 ,  막장 드라마 ,  문화방송 ,  MBC C&I ,  박지현 ,"  하희라, 이형철, 심형탁, 김빈우  外 ",2013-05-06 00:00:00
쓰리데이즈,  2014년 3월 5일 ~ 2014년 5월 1일 ,  16부작 ,"  첩보, 액션 ",  SBS ,"  골든썸픽쳐스, 씨제스엔터테인먼트 ",  김은희 ,"  박유천, 손현주, 박하선, 소이현, 外 ",2014-03-05 00:00:00
위대한이야기,  2015년 3월 15일 ~ 2015년 5월 10일 ,  9부작 ,"  역사, 단막극 ",  TV CHOSUN / tvN ,"  필름오테르, 리얼리티비전 ",   ,  김창완 外 ,2015-03-15 00:00:00
인순이는예쁘다,   2007년 11월 7일 ~ 2007년 12월 27일 ,  16부작 ,,  KBS 2TV ,  김종학프로덕션 ,  정유경 ,"  김현주, 김민준, 이완(배우), 서효림 등 ",2007-11-07 00:00:00
공부의신,  2010년 1월 4일 ~ 2010년 2월 23일 ,  16부작 ,,  KBS ,  드라마하우스 ,  윤경아 ,"  김수로(배우), 배두나, 오윤아, 유승호, 고아성, 이현우(배우), 박지연, 이찬호 外 ",2010-01-04 00:00:00
슈퍼대디열, 2015년 3월 13일 ~ 2015년 5월 2일, 16부작,, tvN,, 김경세," 이동건, 이유리(배우), 이레 外",2015-03-13 00:00:00
식객,  2008년 6월 17일 ~ 2008년 9월 9일 ,  24부작 ,,  SBS ,  JS픽쳐스 ,  박후정 ,"  김래원, 남상미, 김소연(배우), 권오중, 원기준 外 ",2008-06-17 00:00:00
"미안하다,사랑한다",  2004년 11월 8일 ~ 2004년 12월 28일 , 16부작 ,"  멜로, 드라마 ",  한국방송공사 ,  에이트픽스 ,  이경희 ,"  소지섭, 임수정, 정경호(1983), 서지영, 이혜영(1962) 外 ",2004-11-08 00:00:00
수상한파트너,  2017년 5월 10일 ~ 2017년 7월 13일 ,  40부작 ,"  법률, 로맨틱 코미디 ",  SBS ,  더스토리웍스 ,  권기영 ,"  지창욱, 남지현, 최태준, 나라(헬로비너스) 外 ",2017-05-10 00:00:00
쾌도홍길동,  2008년 1월 2일 ~ 2008년 3월 26일 ,  24부작 ,"  드라마, 퓨전 사극 ",  한국방송공사 ,  올리브나인 ,  홍자매 ,"  강지환, 성유리, 장근석 外 ",2008-01-02 00:00:00
도망자Plan.B,  2010년 9월 29일 ~ 2010년 12월 8일 ,  20부작 + 스페셜 1부작 ,,  KBS 2TV ,  도망자에스원문전사 ,  천성일 ,"  비(연예인), 이나영, 이정진, 다니엘 헤니, 윤진서 外 ",2010-09-29 00:00:00
두번째스무살, 2015년 8월 28일 ~ 2015년 10월 17일, 16부작,, tvN,, 소현경," 최지우, 이상윤(배우), 최원영 外",2015-08-28 00:00:00
역전의여왕,  2010년 10월 18일 ~ 2011년 2월 1일 ,  31부작 ,,  문화방송 ,  유니온 엔터테인먼트 ,  박지은(각본가) ,"  김남주, 정준호, 박시후, 채정안, 하유미 外 ",2010-10-18 00:00:00
이브의사랑,  2015년 5월 18일 ~ 2015년 10월 30일 ,  120부작 ,  막장 드라마 ,  문화방송 ,  MBC C&I ,  고은경 ,"  윤세아, 이재황(배우), 김민경(배우), 이동하 外 ",2015-05-18 00:00:00
마녀의법정,  2017년 10월 9일 ~ 2017년 11월 28일 ,  16부작 ,,  KBS 2TV ,  아이윌미디어 ,  정도윤 ,"  정려원, 윤현민, 전광렬, 김여진 外 ",2017-10-09 00:00:00
폭풍의여자,  2014년 11월 3일 ~ 2015년 5월 15일 ,  140부작 ,  막장 드라마 ,  문화방송 ,  MBC C&I ,  은주영 ,"  박선영(1976), 고은미, 현우성, 정찬, 선우재덕 外 ",2014-11-03 00:00:00
사생결단로맨스,  2018년 7월 23일 ~ 2018년 9월 17일 ,  32부작 ,  로맨틱 코미디 ,  문화방송 ,"  세이온미디어, 중휘미디어 ","  김남희, 허승민 ","  지현우, 이시영(배우), 김진엽, 윤주희 外 ",2018-07-23 00:00:00
러블리호러블리,  2018년 8월 13일 ~ 2018년 10월 2일 ,  32부작 ,"  	호러, 로맨틱 코미디 ",  KBS 2TV ,,  박민주 ,"  박시후, 송지효, 이기광, 함은정, 최여진 外 ",2018-08-13 00:00:00
혼,  2009년 8월 5일 ~ 9월 3일 ,  10부작 ,"  드라마, 공포 ",,  문화방송 ,"  고은님, 인은아 ","  이서진, 임주은, 이진, 건일, 지연(1993) 外 ",2009-08-05 00:00:00
땐뽀걸즈,  2018년 12월 3일 ~ 2018년 12월 25일 ,  16부작 ,  성장물 ,  KBS 2TV ,"  MI, NK물산 ",  권혜지 ,"  김갑수, 박세완, 장동윤, 이주영(1987) 外 ",2018-12-03 00:00:00
왕과나,  2007년 8월 27일 ~ 2008년 4월 1일 ,  63부작 ,,  SBS ,"  올리브나인, SBS 프로덕션 ",  유동윤 ,"  오만석, 구혜선,  고주원, 전광렬, 전인화 外 ",2007-08-27 00:00:00
애간장,  2018년 1월 8일 ~2018년 2월 6일 (완결) ,  10부작 ,  로맨스 ,  OCN ,  SBS 플러스 ,  박가연 ,"  이정신, 서지훈(1997), 이열음 외 ",2018-01-08 00:00:00
건빵선생과별사탕,   2005년 4월 13일 ~ 2005년 6월 2일 ,  16부작 ,,  SBS ,  iHQ ,  박계옥 ,"  공유(배우)|공유]], 공효진, 김다현, [[최여진 外 ",2005-04-13 00:00:00
밤을걷는선비,  2015년 7월 8일 ~ 2015년 9월 10일 ,  20부작 ,, 문화방송 ,  콘텐츠 K ,"  장현주, 류용재 ","  이준기, 이유비, 최강창민, 이수혁(배우), 김소은, 장희진 外 ",2015-07-08 00:00:00
"60일,지정생존자",  2019년 7월 1일 ~ 2019년 8월 20일 ,  16부작 ,,,  DK E&M ,  김태희 ,"  지진희, 이준혁, 허준호, 강한나, 배종옥 外 ",2019-07-01 00:00:00
오늘의탐정,  2018년 9월 5일 ~ 2018년 10월 31일 ,  32부작  ,"  미스터리, 멜로 ",  KBS 2TV ,  비욘드제이(Beyond J) ,  한지완 ,"  최다니엘, 박은빈, 이지아 外 ",2018-09-05 00:00:00
애정만만세,  2011년 7월 16일 ~ 2012년 1월 29일 ,  57부작 ,  막장 드라마 ,  문화방송 ,  김종학프로덕션 ,  박현주 ,"  이보영, 이태성, 배종옥, 천호진, 진이한, 변정수 外 ",2011-07-16 00:00:00
검법남녀,  2018년 5월 14일 ~ 2018년 7월 17일 ,  32부작 ,"  법의학, 수사물 ",  문화방송 ,  HB엔터테인먼트 ,"  민지은, 원영실[*A ] ","  정재영, 정유미(1984), 이이경, 박은석, 스테파니 리 등 ",2018-05-14 00:00:00
